# Created on 2025-11-11 13:51:51.962239+01:00 (1762865511.962239 s)
# baldaquin version: 0.10.0+g299a25c
# Creator: Temperature Monitor
# Pin number, Time [s], Temperature [deg C]
0, 64.840, 22.55
1, 65.091, 22.45
0, 65.341, 22.55
1, 65.592, 22.45
0, 65.841, 22.55
1, 66.092, 22.45
0, 66.342, 22.55
1, 66.593, 22.45
0, 66.843, 22.55
1, 67.094, 22.35
0, 67.344, 22.55
1, 67.594, 22.35
0, 67.844, 22.45
1, 68.095, 22.35
0, 68.345, 22.45
1, 68.596, 22.35
0, 68.846, 22.45
1, 69.096, 22.35
0, 69.347, 22.45
1, 69.596, 22.35
0, 69.847, 22.45
1, 70.097, 22.35
0, 70.348, 22.45
1, 70.598, 22.24
0, 70.849, 22.45
1, 71.099, 22.24
0, 71.349, 22.35
1, 71.599, 22.24
0, 71.850, 22.35
1, 72.100, 22.24
0, 72.351, 22.35
1, 72.601, 22.14
0, 72.852, 22.35
1, 73.102, 22.14
0, 73.352, 22.35
1, 73.602, 22.14
0, 73.853, 22.35
1, 74.103, 22.14
0, 74.354, 22.35
1, 74.604, 22.14
0, 74.855, 22.35
1, 75.105, 22.14
0, 75.355, 22.35
1, 75.605, 22.14
0, 75.855, 22.24
1, 76.106, 22.03
0, 76.356, 22.24
1, 76.607, 22.03
0, 76.857, 22.24
1, 77.107, 22.03
0, 77.357, 22.24
1, 77.608, 22.03
0, 77.858, 22.24
1, 78.109, 22.03
0, 78.359, 22.24
1, 78.610, 22.03
0, 78.860, 22.24
1, 79.110, 22.03
0, 79.360, 22.14
1, 79.611, 22.03
0, 79.861, 22.14
1, 80.112, 21.93
0, 80.362, 22.14
1, 80.613, 21.93
0, 80.862, 22.14
1, 81.113, 21.93
0, 81.363, 22.14
1, 81.613, 21.83
0, 81.864, 22.14
1, 82.114, 21.93
0, 82.365, 22.14
1, 82.615, 21.83
0, 82.865, 22.14
1, 83.115, 21.83
0, 83.366, 22.14
1, 83.616, 21.83
0, 83.867, 22.03
1, 84.117, 21.83
0, 84.368, 22.03
1, 84.617, 21.83
0, 84.868, 22.03
1, 85.118, 21.72
0, 85.369, 22.03
1, 85.619, 21.72
0, 85.870, 22.03
1, 86.120, 21.62
0, 86.371, 22.03
1, 86.620, 21.72
0, 86.871, 22.03
1, 87.121, 21.72
0, 87.372, 22.03
1, 87.622, 21.72
0, 87.872, 22.03
1, 88.123, 21.62
0, 88.372, 22.03
1, 88.623, 21.62
0, 88.873, 22.03
1, 89.124, 21.62
0, 89.374, 22.03
1, 89.625, 21.62
0, 89.875, 21.93
1, 90.126, 21.62
0, 90.375, 21.93
1, 90.626, 21.52
0, 90.876, 21.93
1, 91.127, 21.62
0, 91.377, 22.03
1, 91.628, 21.62
0, 91.878, 21.93
1, 92.129, 21.52
0, 92.378, 21.93
1, 92.629, 21.52
0, 92.879, 21.93
1, 93.130, 21.52
0, 93.380, 21.93
1, 93.631, 21.52
0, 93.881, 21.93
1, 94.130, 21.52
0, 94.381, 21.93
1, 94.631, 21.52
0, 94.882, 21.93
1, 95.132, 21.52
0, 95.383, 21.83
1, 95.633, 21.52
0, 95.884, 21.93
1, 96.133, 21.41
0, 96.384, 21.93
1, 96.634, 21.52
0, 96.885, 21.83
1, 97.135, 21.41
0, 97.386, 21.83
1, 97.636, 21.41
0, 97.886, 21.83
1, 98.136, 21.41
0, 98.387, 21.83
1, 98.637, 21.41
0, 98.888, 21.83
1, 99.138, 21.41
0, 99.389, 21.83
1, 99.639, 21.41
0, 99.888, 21.83
1, 100.139, 21.41
0, 100.389, 21.83
1, 100.640, 21.41
0, 100.890, 21.83
1, 101.141, 21.31
0, 101.391, 21.83
1, 101.641, 21.31
0, 101.891, 21.83
1, 102.142, 21.31
0, 102.392, 21.83
1, 102.643, 21.31
0, 102.893, 21.83
1, 103.144, 21.31
0, 103.394, 21.83
1, 103.644, 21.31
0, 103.894, 21.83
1, 104.145, 21.31
0, 104.395, 21.83
1, 104.646, 21.31
0, 104.896, 21.83
1, 105.147, 21.31
0, 105.396, 21.83
1, 105.646, 21.31
0, 105.897, 21.83
1, 106.147, 21.31
0, 106.398, 21.72
1, 106.648, 21.21
0, 106.899, 21.72
1, 107.149, 21.21
0, 107.399, 21.83
1, 107.649, 21.21
0, 107.900, 21.72
1, 108.150, 21.21
0, 108.401, 21.72
1, 108.651, 21.21
0, 108.902, 21.72
1, 109.151, 21.21
0, 109.402, 21.72
1, 109.652, 21.21
0, 109.903, 21.72
1, 110.153, 21.21
0, 110.404, 21.72
1, 110.654, 21.21
0, 110.905, 21.72
1, 111.154, 21.21
0, 111.405, 21.72
1, 111.655, 21.10
0, 111.905, 21.72
1, 112.156, 21.21
0, 112.406, 21.72
1, 112.657, 21.10
0, 112.906, 21.72
1, 113.157, 21.10
0, 113.407, 21.72
1, 113.658, 21.10
0, 113.908, 21.72
1, 114.159, 21.10
0, 114.409, 21.72
1, 114.660, 21.10
0, 114.909, 21.72
1, 115.160, 21.10
0, 115.410, 21.72
1, 115.661, 21.10
0, 115.911, 21.72
1, 116.162, 21.21
0, 116.412, 21.72
1, 116.663, 21.21
0, 116.912, 21.62
1, 117.163, 21.10
0, 117.413, 21.72
1, 117.664, 21.10
0, 117.914, 21.72
1, 118.164, 21.10
0, 118.415, 21.72
1, 118.664, 21.10
0, 118.915, 21.72
1, 119.165, 21.10
0, 119.416, 21.62
